Entry Time,Exit Time,Direction,Entry Price,Exit Price,PnL,PnL %,Exit Reason
2024-01-01 03:00:00+00:00,2024-01-01 18:00:00+00:00,long,$52610.23,$47938.37,$-861.77,-9.07%,signal
2024-01-01 18:00:00+00:00,2024-01-02 07:00:00+00:00,short,$47938.37,$45703.42,$387.78,4.69%,signal
2024-01-02 07:00:00+00:00,2024-01-02 19:00:00+00:00,long,$45703.42,$42234.91,$-704.21,-7.78%,signal
2024-01-02 19:00:00+00:00,2024-01-03 11:00:00+00:00,short,$42234.91,$41382.91,$152.47,1.86%,signal
2024-01-03 11:00:00+00:00,2024-01-04 05:00:00+00:00,long,$41382.91,$42312.57,$174.28,2.04%,signal
2024-01-04 05:00:00+00:00,2024-01-05 09:00:00+00:00,short,$42312.57,$38221.64,$823.75,10.51%,signal
2024-01-05 09:00:00+00:00,2024-01-06 10:00:00+00:00,long,$38221.64,$40210.01,$473.40,5.00%,signal
2024-01-06 10:00:00+00:00,2024-01-06 18:00:00+00:00,short,$40210.01,$40088.74,$10.11,0.10%,signal
2024-01-06 18:00:00+00:00,2024-01-07 11:00:00+00:00,long,$40088.74,$38386.97,$-441.10,-4.44%,signal
2024-01-07 11:00:00+00:00,2024-01-07 12:00:00+00:00,short,$38386.97,$39863.08,$-385.24,-3.91%,signal
2024-01-07 12:00:00+00:00,2024-01-07 14:00:00+00:00,long,$39863.08,$39250.71,$-158.68,-1.73%,signal
2024-01-07 14:00:00+00:00,2024-01-07 23:00:00+00:00,short,$39250.71,$43295.29,$-946.04,-9.55%,signal
2024-01-07 23:00:00+00:00,2024-01-08 01:00:00+00:00,long,$43295.29,$42399.50,$-183.59,-2.27%,signal
2024-01-08 01:00:00+00:00,2024-01-08 07:00:00+00:00,short,$42399.50,$42162.01,$28.58,0.36%,signal
2024-01-08 07:00:00+00:00,2024-01-09 07:00:00+00:00,long,$42162.01,$41841.13,$-76.35,-0.96%,end_of_data
